method,transform,representation,metric,n,mean,std,median,min,max
BP,horizontal_flip,concat,bp_eq2_uniform,32,0.33878822019323707,0.048645550049370094,0.35268837213516235,0.21635575592517853,0.41121363639831543
BP,horizontal_flip,concat,full_normalized_distance,32,0.8209074394561711,0.0616957465527103,0.8398666646532722,0.6578081117243516,0.9068777606693368
BP,horizontal_flip,concat,bp_delta_from_original,32,-0.0009527229703962803,0.009355705959603338,0.0002993941307067871,-0.028150439262390137,0.011250406503677368
BP,horizontal_flip,concat,bp_ratio_to_original,32,0.9980087097204283,0.02565290223215669,1.001079802127364,0.9332577567725134,1.0356904504991593
BP,horizontal_flip,concat,cp_eq1_optimized,32,0.20339625189080834,0.022746478752103692,0.20252729207277298,0.16289156675338745,0.2585707902908325
BP,horizontal_flip,concat,cp_delta_from_original,32,0.001425035297870636,0.012582141180005748,0.002042531967163086,-0.02361758053302765,0.023237496614456177
BP,horizontal_flip,concat,cp_ratio_to_original,32,1.0095016531400973,0.06318216433951941,1.0101187607549162,0.901521599276481,1.1261551064132242
BP,horizontal_flip,concat,cp_coefficient_entropy,32,1.8660184890031815,0.31346513106769464,1.8325726985931396,1.2161697149276733,2.4698119163513184
BP,horizontal_flip,layer2_flat,bp_eq2_uniform,32,0.3408033982850611,0.06454006788839735,0.3493904024362564,0.18853403627872467,0.4512898623943329
BP,horizontal_flip,layer2_flat,full_normalized_distance,32,0.8216689710864765,0.08170378298226913,0.835930338001216,0.6140586882028861,0.9500419594884564
BP,horizontal_flip,layer2_flat,bp_delta_from_original,32,-0.00037910696119070053,0.011386409797810105,0.001015588641166687,-0.027978748083114624,0.020544052124023438
BP,horizontal_flip,layer2_flat,bp_ratio_to_original,32,1.000935796575384,0.030911897626756422,1.0027279677456016,0.9267027922640528,1.0476944377136963
BP,horizontal_flip,layer2_flat,cp_eq1_optimized,32,0.19854917284101248,0.024553812469102543,0.20101268589496613,0.1528906673192978,0.25074437260627747
BP,horizontal_flip,layer2_flat,cp_delta_from_original,32,0.003556275274604559,0.010532966204633416,0.006997391581535339,-0.017374560236930847,0.02359709143638611
BP,horizontal_flip,layer2_flat,cp_ratio_to_original,32,1.0206247672824853,0.05649058377810192,1.0354373104687984,0.9138349569274018,1.1335032585573859
BP,horizontal_flip,layer2_flat,cp_coefficient_entropy,32,2.098793886601925,0.2654574684255393,2.0969583988189697,1.5496280193328857,2.5790534019470215
BP,horizontal_flip,layer3_flat,bp_eq2_uniform,32,0.34052924904972315,0.0340215166992236,0.3488539755344391,0.24615949392318726,0.4028922915458679
BP,horizontal_flip,layer3_flat,full_normalized_distance,32,0.8242134233500615,0.0422677287898383,0.8352883360830397,0.7016544647092147,0.897655046825748
BP,horizontal_flip,layer3_flat,bp_delta_from_original,32,-0.0016618110239505768,0.01151717630956516,-6.110966205596924e-05,-0.028863072395324707,0.02621525526046753
BP,horizontal_flip,layer3_flat,bp_ratio_to_original,32,0.9954337878870434,0.03326847851559871,0.9998566569163869,0.9243444131730806,1.0730030753580242
BP,horizontal_flip,layer3_flat,cp_eq1_optimized,32,0.20236798655241728,0.031677398319647665,0.20431610196828842,0.14944420754909515,0.2690750062465668
BP,horizontal_flip,layer3_flat,cp_delta_from_original,32,-0.0005067447200417519,0.017038475123606556,-0.003353431820869446,-0.029886052012443542,0.0328054279088974
BP,horizontal_flip,layer3_flat,cp_ratio_to_original,32,1.0010436967207998,0.08447140691880574,0.9840564569639771,0.8475342194647169,1.1714942390839005
BP,horizontal_flip,layer3_flat,cp_coefficient_entropy,32,1.6958071999251842,0.4224536890459786,1.6868406534194946,0.7527550458908081,2.4522173404693604
BP,horizontal_flip,layer4_pooled,bp_eq2_uniform,32,0.45674256701022387,0.06410760334597859,0.45222172141075134,0.3096071481704712,0.6521615386009216
BP,horizontal_flip,layer4_pooled,full_normalized_distance,32,0.9535026693226429,0.06676134570276196,0.951021930265033,0.7869017069119513,1.1420696463884519
BP,horizontal_flip,layer4_pooled,bp_delta_from_original,32,-0.003853599540889263,0.024684589906699087,0.001593559980392456,-0.09051403403282166,0.048899441957473755
BP,horizontal_flip,layer4_pooled,bp_ratio_to_original,32,0.9909714579778973,0.05752324173999754,1.003586613832279,0.773783448468851,1.1056108582429154
BP,horizontal_flip,layer4_pooled,cp_eq1_optimized,32,0.09496859373757616,0.057973947051998494,0.07653044909238815,0.017685770988464355,0.24199534952640533
BP,horizontal_flip,layer4_pooled,cp_delta_from_original,32,-0.0011073348578065634,0.023628088022994986,0.0027764281257987022,-0.06061304360628128,0.03388826921582222
BP,horizontal_flip,layer4_pooled,cp_ratio_to_original,32,1.0137652900765866,0.3376735481894349,1.0180929263539196,0.2985971425062066,1.8883107637765992
BP,horizontal_flip,layer4_pooled,cp_coefficient_entropy,32,0.4606432458385825,0.49955855990035897,0.3640769422054291,-0.0,1.704551339149475
BP,original,concat,bp_eq2_uniform,32,0.33974094316363335,0.049961857862412015,0.3558211922645569,0.22012899816036224,0.42177844047546387
BP,original,concat,full_normalized_distance,32,0.8219603459873055,0.06314816945071575,0.843588941257688,0.6635194016159018,0.9184535268324292
BP,original,concat,bp_delta_from_original,32,0.0,0.0,0.0,0.0,0.0
BP,original,concat,bp_ratio_to_original,32,1.0,0.0,1.0,1.0,1.0
BP,original,concat,cp_eq1_optimized,32,0.20197121985256672,0.022961858166080974,0.20085475593805313,0.1452932059764862,0.24516960978507996
BP,original,concat,cp_delta_from_original,32,3.259629011154175e-09,1.0526085083035042e-08,0.0,-1.4901161193847656e-08,2.9802322387695312e-08
BP,original,concat,cp_ratio_to_original,32,1.0000000153427153,5.176398404814664e-08,1.0,0.999999910212784,1.0000001545073622
BP,original,concat,cp_coefficient_entropy,32,1.888938270509243,0.3080814230117237,1.8602139353752136,1.2965794801712036,2.4784035682678223
BP,original,layer2_flat,bp_eq2_uniform,32,0.3411825052462518,0.06667008070890502,0.3525349050760269,0.18275943398475647,0.4521275460720062
BP,original,layer2_flat,full_normalized_distance,32,0.8218297639057435,0.08476669858067487,0.8396839684934627,0.6045815643645719,0.9509232840476736
BP,original,layer2_flat,bp_delta_from_original,32,0.0,0.0,0.0,0.0,0.0
BP,original,layer2_flat,bp_ratio_to_original,32,1.0,0.0,1.0,1.0,1.0
BP,original,layer2_flat,cp_eq1_optimized,32,0.1949929022230208,0.02527733072745559,0.1980803683400154,0.14441624283790588,0.24041450023651123
BP,original,layer2_flat,cp_delta_from_original,32,4.6566128730773926e-09,1.5345185634536983e-08,0.0,-2.9802322387695312e-08,4.470348358154297e-08
BP,original,layer2_flat,cp_ratio_to_original,32,1.000000025868745,7.934767196334512e-08,1.0,0.9999998649498644,1.000000262180101
BP,original,layer2_flat,cp_coefficient_entropy,32,2.0764597840607166,0.2576221524351543,2.06748366355896,1.5057915449142456,2.5840957164764404
BP,original,layer3_flat,bp_eq2_uniform,32,0.3421910600736737,0.03339073104057187,0.3512707054615021,0.24838578701019287,0.3992100656032562
BP,original,layer3_flat,full_normalized_distance,32,0.8262728700852429,0.04133593994692478,0.8381756733450929,0.7048202423457954,0.893543581033691
BP,original,layer3_flat,bp_delta_from_original,32,0.0,0.0,0.0,0.0,0.0
BP,original,layer3_flat,bp_ratio_to_original,32,1.0,0.0,1.0,1.0,1.0
BP,original,layer3_flat,cp_eq1_optimized,32,0.20287473360076547,0.031183661379453515,0.20847303420305252,0.1350076049566269,0.2546057105064392
BP,original,layer3_flat,cp_delta_from_original,32,2.3283064365386963e-09,1.4217006167340608e-08,0.0,-2.9802322387695312e-08,4.470348358154297e-08
BP,original,layer3_flat,cp_ratio_to_original,32,1.0000000108390585,6.975456793412507e-08,1.0,0.999999832984131,1.000000195220609
BP,original,layer3_flat,cp_coefficient_entropy,32,1.7146925292909145,0.3952476769272365,1.7526920437812805,0.8597232103347778,2.3066015243530273
BP,original,layer4_pooled,bp_eq2_uniform,32,0.46059616655111313,0.05780613662928204,0.44831177592277527,0.38778334856033325,0.6408292651176453
BP,original,layer4_pooled,full_normalized_distance,32,0.9580636895083305,0.05842049969780148,0.9468996288009558,0.8806626466023562,1.1321035863538682
BP,original,layer4_pooled,bp_delta_from_original,32,0.0,0.0,0.0,0.0,0.0
BP,original,layer4_pooled,bp_ratio_to_original,32,1.0,0.0,1.0,1.0,1.0
BP,original,layer4_pooled,cp_eq1_optimized,32,0.0960759277222678,0.053478836052070475,0.08144191652536392,0.0245150625705719,0.23609453439712524
BP,original,layer4_pooled,cp_delta_from_original,32,-8.731149137020111e-10,8.316345731478857e-09,0.0,-2.2351741790771484e-08,1.4901161193847656e-08
BP,original,layer4_pooled,cp_ratio_to_original,32,0.9999999914818354,9.714964304897765e-08,1.0,0.9999997958337287,1.000000211901557
