target_index,transform,representation,cosine_drift
2,original,layer2_flat,0.0
2,original,layer3_flat,-1.1920928955078125e-07
2,original,layer4_pooled,0.0
2,original,concat,0.0
2,rotate_-10,layer2_flat,0.15012121200561523
2,rotate_-10,layer3_flat,0.05333942174911499
2,rotate_-10,layer4_pooled,0.0016164183616638184
2,rotate_-10,concat,0.096713125705719
2,rotate_+10,layer2_flat,0.14411711692810059
2,rotate_+10,layer3_flat,0.03547656536102295
2,rotate_+10,layer4_pooled,0.0014958977699279785
2,rotate_+10,concat,0.08266830444335938
2,scale_0.90,layer2_flat,0.1788884401321411
2,scale_0.90,layer3_flat,0.10451161861419678
2,scale_0.90,layer4_pooled,0.04036897420883179
2,scale_0.90,concat,0.13914328813552856
2,scale_1.10,layer2_flat,0.08805972337722778
2,scale_1.10,layer3_flat,0.02394312620162964
2,scale_1.10,layer4_pooled,0.0024455785751342773
2,scale_1.10,concat,0.053179144859313965
2,horizontal_flip,layer2_flat,0.2097802758216858
2,horizontal_flip,layer3_flat,0.12185454368591309
2,horizontal_flip,layer4_pooled,0.002116680145263672
2,horizontal_flip,concat,0.16067910194396973
3,original,layer2_flat,5.960464477539063e-08
3,original,layer3_flat,1.1920928955078125e-07
3,original,layer4_pooled,5.960464477539063e-08
3,original,concat,0.0
3,rotate_-10,layer2_flat,0.1464177966117859
3,rotate_-10,layer3_flat,0.04832816123962402
3,rotate_-10,layer4_pooled,0.0029832124710083008
3,rotate_-10,concat,0.09357190132141113
3,rotate_+10,layer2_flat,0.1550959348678589
3,rotate_+10,layer3_flat,0.05691671371459961
3,rotate_+10,layer4_pooled,0.0029134750366210938
3,rotate_+10,concat,0.10326272249221802
3,scale_0.90,layer2_flat,0.18564724922180176
3,scale_0.90,layer3_flat,0.09583920240402222
3,scale_0.90,layer4_pooled,0.008154869079589844
3,scale_0.90,concat,0.14006060361862183
3,scale_1.10,layer2_flat,0.07339239120483398
3,scale_1.10,layer3_flat,0.030849099159240723
3,scale_1.10,layer4_pooled,0.0043988823890686035
3,scale_1.10,concat,0.05166977643966675
3,horizontal_flip,layer2_flat,0.25155109167099
3,horizontal_flip,layer3_flat,0.1484767198562622
3,horizontal_flip,layer4_pooled,0.010307908058166504
3,horizontal_flip,concat,0.19720208644866943
4,original,layer2_flat,0.0
4,original,layer3_flat,0.0
4,original,layer4_pooled,1.1920928955078125e-07
4,original,concat,0.0
4,rotate_-10,layer2_flat,0.142717182636261
4,rotate_-10,layer3_flat,0.04979228973388672
4,rotate_-10,layer4_pooled,0.0009410381317138672
4,rotate_-10,concat,0.09352469444274902
4,rotate_+10,layer2_flat,0.15434026718139648
4,rotate_+10,layer3_flat,0.06423306465148926
4,rotate_+10,layer4_pooled,0.00430607795715332
4,rotate_+10,concat,0.10795700550079346
4,scale_0.90,layer2_flat,0.17309832572937012
4,scale_0.90,layer3_flat,0.09234315156936646
4,scale_0.90,layer4_pooled,0.010281205177307129
4,scale_0.90,concat,0.1342630386352539
4,scale_1.10,layer2_flat,0.08392202854156494
4,scale_1.10,layer3_flat,0.061468303203582764
4,scale_1.10,layer4_pooled,0.06640708446502686
4,scale_1.10,concat,0.07210338115692139
4,horizontal_flip,layer2_flat,0.25568467378616333
4,horizontal_flip,layer3_flat,0.1730879545211792
4,horizontal_flip,layer4_pooled,0.002192974090576172
4,horizontal_flip,concat,0.21219676733016968
5,original,layer2_flat,-1.1920928955078125e-07
5,original,layer3_flat,-2.384185791015625e-07
5,original,layer4_pooled,5.960464477539063e-08
5,original,concat,0.0
5,rotate_-10,layer2_flat,0.15632760524749756
5,rotate_-10,layer3_flat,0.08374297618865967
5,rotate_-10,layer4_pooled,0.010812222957611084
5,rotate_-10,concat,0.12091553211212158
5,rotate_+10,layer2_flat,0.16094470024108887
5,rotate_+10,layer3_flat,0.1132209300994873
5,rotate_+10,layer4_pooled,0.011901617050170898
5,rotate_+10,concat,0.13878291845321655
5,scale_0.90,layer2_flat,0.15737676620483398
5,scale_0.90,layer3_flat,0.08784043788909912
5,scale_0.90,layer4_pooled,0.01932239532470703
5,scale_0.90,concat,0.12466311454772949
5,scale_1.10,layer2_flat,0.11491918563842773
5,scale_1.10,layer3_flat,0.09245669841766357
5,scale_1.10,layer4_pooled,0.01057744026184082
5,scale_1.10,concat,0.1041337251663208
5,horizontal_flip,layer2_flat,0.2145099639892578
5,horizontal_flip,layer3_flat,0.1493636965751648
5,horizontal_flip,layer4_pooled,0.01723623275756836
5,horizontal_flip,concat,0.18302381038665771
6,original,layer2_flat,0.0
6,original,layer3_flat,0.0
6,original,layer4_pooled,0.0
6,original,concat,0.0
6,rotate_-10,layer2_flat,0.16758298873901367
6,rotate_-10,layer3_flat,0.06276893615722656
6,rotate_-10,layer4_pooled,0.012464404106140137
6,rotate_-10,concat,0.11895734071731567
6,rotate_+10,layer2_flat,0.18406617641448975
6,rotate_+10,layer3_flat,0.08261573314666748
6,rotate_+10,layer4_pooled,0.012399017810821533
6,rotate_+10,concat,0.13754141330718994
6,scale_0.90,layer2_flat,0.1867889165878296
6,scale_0.90,layer3_flat,0.08319151401519775
6,scale_0.90,layer4_pooled,0.05564159154891968
6,scale_0.90,concat,0.1411287784576416
6,scale_1.10,layer2_flat,0.121548593044281
6,scale_1.10,layer3_flat,0.08228945732116699
6,scale_1.10,layer4_pooled,0.029341578483581543
6,scale_1.10,concat,0.10358262062072754
6,horizontal_flip,layer2_flat,0.2344573736190796
6,horizontal_flip,layer3_flat,0.12971913814544678
6,horizontal_flip,layer4_pooled,0.013322710990905762
6,horizontal_flip,concat,0.18556249141693115
7,original,layer2_flat,-1.1920928955078125e-07
7,original,layer3_flat,1.1920928955078125e-07
7,original,layer4_pooled,0.0
7,original,concat,0.0
7,rotate_-10,layer2_flat,0.16374266147613525
7,rotate_-10,layer3_flat,0.08111143112182617
7,rotate_-10,layer4_pooled,0.009801685810089111
7,rotate_-10,concat,0.1246265172958374
7,rotate_+10,layer2_flat,0.14984440803527832
7,rotate_+10,layer3_flat,0.07215726375579834
7,rotate_+10,layer4_pooled,0.01329737901687622
7,rotate_+10,concat,0.11240875720977783
7,scale_0.90,layer2_flat,0.19316178560256958
7,scale_0.90,layer3_flat,0.11227607727050781
7,scale_0.90,layer4_pooled,0.01805168390274048
7,scale_0.90,concat,0.1554403305053711
7,scale_1.10,layer2_flat,0.06063342094421387
7,scale_1.10,layer3_flat,0.03354281187057495
7,scale_1.10,layer4_pooled,0.006869971752166748
7,scale_1.10,concat,0.047459304332733154
7,horizontal_flip,layer2_flat,0.2538580894470215
7,horizontal_flip,layer3_flat,0.23483598232269287
7,horizontal_flip,layer4_pooled,0.0029753446578979492
7,horizontal_flip,concat,0.2443256378173828
8,original,layer2_flat,0.0
8,original,layer3_flat,0.0
8,original,layer4_pooled,1.7881393432617188e-07
8,original,concat,0.0
8,rotate_-10,layer2_flat,0.09096157550811768
8,rotate_-10,layer3_flat,0.048226118087768555
8,rotate_-10,layer4_pooled,0.007839322090148926
8,rotate_-10,concat,0.07688295841217041
8,rotate_+10,layer2_flat,0.09731924533843994
8,rotate_+10,layer3_flat,0.04840195178985596
8,rotate_+10,layer4_pooled,0.010807633399963379
8,rotate_+10,concat,0.08133804798126221
8,scale_0.90,layer2_flat,0.20116299390792847
8,scale_0.90,layer3_flat,0.08769392967224121
8,scale_0.90,layer4_pooled,0.021038532257080078
8,scale_0.90,concat,0.16622239351272583
8,scale_1.10,layer2_flat,0.05715358257293701
8,scale_1.10,layer3_flat,0.037167906761169434
8,scale_1.10,layer4_pooled,0.0056951045989990234
8,scale_1.10,concat,0.050716519355773926
8,horizontal_flip,layer2_flat,0.21353960037231445
8,horizontal_flip,layer3_flat,0.21206557750701904
8,horizontal_flip,layer4_pooled,0.028218090534210205
8,horizontal_flip,concat,0.21304559707641602
9,original,layer2_flat,0.0
9,original,layer3_flat,0.0
9,original,layer4_pooled,0.0
9,original,concat,-1.1920928955078125e-07
9,rotate_-10,layer2_flat,0.14977967739105225
9,rotate_-10,layer3_flat,0.11348086595535278
9,rotate_-10,layer4_pooled,0.056594252586364746
9,rotate_-10,concat,0.13186359405517578
9,rotate_+10,layer2_flat,0.13266950845718384
9,rotate_+10,layer3_flat,0.07094079256057739
9,rotate_+10,layer4_pooled,0.05188119411468506
9,rotate_+10,concat,0.10250234603881836
9,scale_0.90,layer2_flat,0.20153313875198364
9,scale_0.90,layer3_flat,0.13276970386505127
9,scale_0.90,layer4_pooled,0.04379832744598389
9,scale_0.90,concat,0.16968250274658203
9,scale_1.10,layer2_flat,0.06850326061248779
9,scale_1.10,layer3_flat,0.03609645366668701
9,scale_1.10,layer4_pooled,0.008093774318695068
9,scale_1.10,concat,0.05247640609741211
9,horizontal_flip,layer2_flat,0.2715413570404053
9,horizontal_flip,layer3_flat,0.24504148960113525
9,horizontal_flip,layer4_pooled,0.011898338794708252
9,horizontal_flip,concat,0.25807785987854004
10,original,layer2_flat,0.0
10,original,layer3_flat,0.0
10,original,layer4_pooled,1.1920928955078125e-07
10,original,concat,0.0
10,rotate_-10,layer2_flat,0.12489676475524902
10,rotate_-10,layer3_flat,0.03215211629867554
10,rotate_-10,layer4_pooled,0.00045490264892578125
10,rotate_-10,concat,0.07193410396575928
