target_index,bp_poison_count,msp_poison_count,method,transform,representation,bp_eq2_uniform,full_normalized_distance,bp_delta_from_original,bp_ratio_to_original,cp_eq1_optimized,cp_delta_from_original,cp_ratio_to_original,cp_coefficient_entropy,cp_coefficients
2,10,10,BP,original,layer2_flat,0.406542032957077,0.9017117421405546,0.0,1.0,0.226861372590065,2.9802322387695312e-08,1.0000001313680067,1.7837127447128296,0.14277665 0.23823529 0.01018630 0.01522640 0.01030834 0.03957410 0.54369295 0.00000000 0.00000000 0.00000000
2,10,10,BP,original,layer3_flat,0.3380106985569,0.8222052037744593,0.0,1.0,0.212022066116333,0.0,1.0,1.3162121772766113,0.00000000 0.34944785 0.00000000 0.00383086 0.07985156 0.00000000 0.56686974 0.00000000 0.00000000 0.00000000
2,10,10,BP,original,layer4_pooled,0.4619673192501068,0.961215188446486,0.0,1.0,0.14914430677890778,0.0,1.0,-0.0,0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000
2,10,10,BP,original,concat,0.36807820200920105,0.8579955734258785,0.0,1.0,0.2209937572479248,0.0,1.0,1.541723608970642,0.07722284 0.30870682 0.00000000 0.00873191 0.04600609 0.00000000 0.55933225 0.00000000 0.00000000 0.00000000
2,10,10,BP,rotate_-10,layer2_flat,0.3753957450389862,0.8664822502959726,-0.03114628791809082,0.9233872874313523,0.22526690363883972,-0.001594439148902893,0.992971745960317,1.9783494472503662,0.15162881 0.22335796 0.01852981 0.03517387 0.00000000 0.05107167 0.50553203 0.00000000 0.01470591 0.00000000
2,10,10,BP,rotate_-10,layer3_flat,0.3467836081981659,0.8328068301811241,0.00877290964126587,1.0259545324414134,0.21522997319698334,0.0032079070806503296,1.0151300623533923,1.3601810932159424,0.00000000 0.32188845 0.00000000 0.03532461 0.05002662 0.00000000 0.59276038 0.00000000 0.00000000 0.00000000
2,10,10,BP,rotate_-10,layer4_pooled,0.48086026310920715,0.9806735064323979,0.018892943859100342,1.0408967108100367,0.14914879202842712,4.4852495193481445e-06,1.0000300732197975,-0.0,0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000
2,10,10,BP,rotate_-10,concat,0.3598878085613251,0.8483959082425199,-0.008190393447875977,0.9777482246893583,0.22261348366737366,0.0016197264194488525,1.0073292858568146,1.6623497009277344,0.09273253 0.28402838 0.00000000 0.04358289 0.02010422 0.00000000 0.55331415 0.00000000 0.00623782 0.00000000
2,10,10,BP,rotate_+10,layer2_flat,0.4056618809700012,0.9007351230744821,-0.0008801519870758057,0.9978350283224796,0.23578839004039764,0.00892704725265503,1.0393502354474207,1.7939939498901367,0.16934161 0.27345586 0.01690066 0.00959240 0.00512565 0.01141939 0.50280380 0.00000000 0.01136057 0.00000000
2,10,10,BP,rotate_+10,layer3_flat,0.34421440958976746,0.829716107581102,0.006203711032867432,1.0183535937156283,0.21530872583389282,0.0032866597175598145,1.0155014983947046,1.2643275260925293,0.00000000 0.35753173 0.00000000 0.01626609 0.03992469 0.00000000 0.58627748 0.00000000 0.00000000 0.00000000
2,10,10,BP,rotate_+10,layer4_pooled,0.46447205543518066,0.9638174676101079,0.0025047361850738525,1.0054218904253536,0.16654451191425323,0.01740020513534546,1.1166669081175384,-0.0,0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000
2,10,10,BP,rotate_+10,concat,0.3707432448863983,0.8610960978734004,0.0026650428771972656,1.0072404257101957,0.22609399259090424,0.005100235342979431,1.0230786398967577,1.5499106645584106,0.09891525 0.31212878 0.00000000 0.01361064 0.02587057 0.00000000 0.54947478 0.00000000 0.00000000 0.00000000
2,10,10,BP,scale_0.90,layer2_flat,0.3226581811904907,0.8033158546804497,-0.0838838517665863,0.7936649965657143,0.20014852285385132,-0.026712819933891296,0.882250454812979,2.166518211364746,0.15320750 0.23328955 0.07581849 0.03839169 0.00231276 0.06486139 0.43211859 0.00000000 0.00000000 0.00000000
2,10,10,BP,scale_0.90,layer3_flat,0.296883225440979,0.7705624250389829,-0.04112747311592102,0.8783249367804373,0.20099633932113647,-0.011025726795196533,0.94799726746793,1.738647699356079,0.00000000 0.39035067 0.01459975 0.06270532 0.10687456 0.00000000 0.42546964 0.00000000 0.00000000 0.00000000
