target_index,transform,representation,metric,bp,msp,difference_bp_minus_msp,relative_improvement_percent,msp_win
2,horizontal_flip,concat,bp_eq2_uniform,0.36302733421325684,0.2998010814189911,0.06322625279426575,17.416389025116754,1.0
3,horizontal_flip,concat,bp_eq2_uniform,0.35547924041748047,0.28786709904670715,0.06761214137077332,19.019997142780642,1.0
4,horizontal_flip,concat,bp_eq2_uniform,0.3548509478569031,0.30509069561958313,0.049760252237319946,14.022860172053424,1.0
5,horizontal_flip,concat,bp_eq2_uniform,0.3430759012699127,0.24675695598125458,0.09631894528865814,28.07511251354233,1.0
6,horizontal_flip,concat,bp_eq2_uniform,0.3264721632003784,0.26690301299095154,0.05956915020942688,18.246318346193192,1.0
7,horizontal_flip,concat,bp_eq2_uniform,0.3759557008743286,0.29708850383758545,0.07886719703674316,20.977789897351887,1.0
8,horizontal_flip,concat,bp_eq2_uniform,0.21635575592517853,0.21506863832473755,0.001287117600440979,0.5949079537685833,1.0
9,horizontal_flip,concat,bp_eq2_uniform,0.41121363639831543,0.3354159891605377,0.07579764723777771,18.432668697828205,1.0
10,horizontal_flip,concat,bp_eq2_uniform,0.4010257422924042,0.30299508571624756,0.09803065657615662,24.444978523207627,1.0
11,horizontal_flip,concat,bp_eq2_uniform,0.23432588577270508,0.20189020037651062,0.03243568539619446,13.842126442453091,1.0
12,horizontal_flip,concat,bp_eq2_uniform,0.3519708514213562,0.2855014204978943,0.06646943092346191,18.884924889334165,1.0
13,horizontal_flip,concat,bp_eq2_uniform,0.37351304292678833,0.3114834129810333,0.062029629945755005,16.607085380348355,1.0
14,horizontal_flip,concat,bp_eq2_uniform,0.36681315302848816,0.3353618085384369,0.03145134449005127,8.574213937067544,1.0
15,horizontal_flip,concat,bp_eq2_uniform,0.25463569164276123,0.2443203330039978,0.010315358638763428,4.051026221883598,1.0
16,horizontal_flip,concat,bp_eq2_uniform,0.31869176030158997,0.2364455908536911,0.08224616944789886,25.80743517491891,1.0
17,horizontal_flip,concat,bp_eq2_uniform,0.36847755312919617,0.30769822001457214,0.06077933311462402,16.494717954542143,1.0
18,horizontal_flip,concat,bp_eq2_uniform,0.3904135823249817,0.30093905329704285,0.08947452902793884,22.917883259817213,1.0
19,horizontal_flip,concat,bp_eq2_uniform,0.36793410778045654,0.2745896279811859,0.09334447979927063,25.36989037578296,1.0
20,horizontal_flip,concat,bp_eq2_uniform,0.2837623059749603,0.22514142096042633,0.058620885014534,20.658446798603414,1.0
21,horizontal_flip,concat,bp_eq2_uniform,0.34678858518600464,0.29439350962638855,0.05239507555961609,15.1086505720372,1.0
22,horizontal_flip,concat,bp_eq2_uniform,0.26843616366386414,0.2381775677204132,0.030258595943450928,11.272175674969052,1.0
23,horizontal_flip,concat,bp_eq2_uniform,0.3671163022518158,0.3087514042854309,0.05836489796638489,15.89820381394878,1.0
24,horizontal_flip,concat,bp_eq2_uniform,0.3409899175167084,0.2540273368358612,0.08696258068084717,25.502977130205327,1.0
25,horizontal_flip,concat,bp_eq2_uniform,0.26223647594451904,0.1607099026441574,0.10152657330036163,38.715656521198184,1.0
26,horizontal_flip,concat,bp_eq2_uniform,0.31680214405059814,0.23257534205913544,0.08422680199146271,26.58656311926492,1.0
27,horizontal_flip,concat,bp_eq2_uniform,0.3610842525959015,0.27406081557273865,0.08702343702316284,24.100590484712157,1.0
28,horizontal_flip,concat,bp_eq2_uniform,0.3534058928489685,0.3028014302253723,0.05060446262359619,14.319077199168074,1.0
29,horizontal_flip,concat,bp_eq2_uniform,0.39362800121307373,0.29817524552345276,0.09545275568962097,24.24948311482272,1.0
30,horizontal_flip,concat,bp_eq2_uniform,0.3449832499027252,0.2957358956336975,0.04924735426902771,14.275288519883564,1.0
31,horizontal_flip,concat,bp_eq2_uniform,0.38372743129730225,0.3041263818740845,0.07960104942321777,20.744164459104688,1.0
32,horizontal_flip,concat,bp_eq2_uniform,0.3155398964881897,0.2639591097831726,0.05158078670501709,16.346835147923755,1.0
33,horizontal_flip,concat,bp_eq2_uniform,0.32849037647247314,0.27319446206092834,0.0552959144115448,16.833343796910338,1.0
2,horizontal_flip,concat,full_normalized_distance,0.8520884158504408,0.7743398238744938,0.07774859197594697,9.124474705862239,1.0
3,horizontal_flip,concat,full_normalized_distance,0.8431835392338735,0.7587715058523312,0.08441203338154224,10.01111020954464,1.0
4,horizontal_flip,concat,full_normalized_distance,0.8424380663964599,0.7811410828007744,0.06129698359568547,7.2761412429772285,1.0
5,horizontal_flip,concat,full_normalized_distance,0.828342804966534,0.7025054533329326,0.12583735163360144,15.19145828019035,1.0
6,horizontal_flip,concat,full_normalized_distance,0.808049705402308,0.7306203021966355,0.07742940320567249,9.58225746360819,1.0
7,horizontal_flip,concat,full_normalized_distance,0.8671282498850197,0.7708287797398141,0.09629947014520557,11.10556254600905,1.0
8,horizontal_flip,concat,full_normalized_distance,0.6578081117243516,0.655848516541339,0.0019595951830125857,0.29789769205989314,1.0
9,horizontal_flip,concat,full_normalized_distance,0.9068777606693368,0.8190433311620793,0.0878344295072575,9.685365913299377,1.0
10,horizontal_flip,concat,full_normalized_distance,0.8955732714774421,0.7784537053881208,0.11711956608932139,13.077608479312532,1.0
11,horizontal_flip,concat,full_normalized_distance,0.6845814572024356,0.635437172939246,0.04914428426318962,7.178734356017697,1.0
12,horizontal_flip,concat,full_normalized_distance,0.8390123377178147,0.7556472993373222,0.08336503838049247,9.936092073109812,1.0
13,horizontal_flip,concat,full_normalized_distance,0.8643067082081318,0.7892824753927244,0.07502423281540738,8.680278899010252,1.0
