method,transform,representation,bp_eq2_uniform,bp_delta_from_original,bp_ratio_to_original,cp_eq1_optimized,cp_delta_from_original,cp_ratio_to_original,cp_coefficient_entropy,cp_coefficients
BP,original,layer2_flat,0.23877188563346863,0.0,1.0,0.15436120331287384,0.0,1.0,2.30588436126709,0.28846386 0.12559040 0.11796322 0.00000000 0.00000000 0.03415490 0.34247953 0.08378500 0.00756313 0.00000000
BP,original,layer3_flat,0.28987783193588257,0.0,1.0,0.22394955158233643,1.4901161193847656e-08,1.0000000665380309,2.254444122314453,0.21651474 0.17439911 0.00000000 0.16697045 0.00000000 0.00000000 0.31292951 0.00000000 0.12918623 0.00000000
BP,original,layer4_pooled,0.3921663761138916,0.0,1.0,0.16681089997291565,0.0,1.0,0.7040406465530396,0.00000000 0.00000000 0.00000000 0.00000000 0.19123155 0.00000000 0.80876845 0.00000000 0.00000000 0.00000000
BP,original,concat,0.2617526054382324,0.0,1.0,0.19162604212760925,0.0,1.0,2.3440184593200684,0.27816558 0.15359797 0.05686412 0.08155940 0.00000000 0.00000000 0.35459590 0.03222985 0.04298715 0.00000000
BP,rotate_-10,layer2_flat,0.2805532217025757,0.041781336069107056,1.174984320109903,0.17080865800380707,0.016447454690933228,1.1065517392831503,2.1901705265045166,0.27839294 0.15408222 0.12603609 0.00000000 0.00000000 0.02049946 0.37050867 0.04622273 0.00425783 0.00000000
BP,rotate_-10,layer3_flat,0.3245437443256378,0.03466591238975525,1.1195880076724989,0.23922930657863617,0.015279769897460938,1.0682286291984864,2.1637825965881348,0.16443215 0.26252463 0.00000000 0.15673897 0.00000000 0.00000000 0.34114298 0.00000000 0.07516129 0.00000000
BP,rotate_-10,layer4_pooled,0.4491020143032074,0.056935638189315796,1.1451823553904978,0.16249001026153564,-0.004320889711380005,0.9740970781162642,0.9131103754043579,0.00000000 0.15345278 0.00000000 0.00000000 0.05527553 0.00000000 0.79127181 0.00000000 0.00000000 0.00000000
BP,rotate_-10,concat,0.30041977763175964,0.03866717219352722,1.1477241157872793,0.20700392127037048,0.01537787914276123,1.080249422113725,2.1766457557678223,0.25138682 0.21118657 0.06479439 0.06633278 0.00000000 0.00000000 0.37511361 0.00000000 0.03118586 0.00000000
BP,rotate_+10,layer2_flat,0.2962574362754822,0.05748555064201355,1.2407551060262474,0.1818688064813614,0.02750760316848755,1.178202829324635,2.277594804763794,0.21624985 0.19164398 0.08689508 0.02308019 0.00000000 0.03421181 0.40048072 0.04636861 0.00106980 0.00000000
BP,rotate_+10,layer3_flat,0.3318239152431488,0.041946083307266235,1.144702625333556,0.23043519258499146,0.006485655903816223,1.0289603452630516,2.0742082595825195,0.19552407 0.19552936 0.00000000 0.16499463 0.00000000 0.00000000 0.40073755 0.00000000 0.04321434 0.00000000
BP,rotate_+10,layer4_pooled,0.4414626657962799,0.049296289682388306,1.1257024892617162,0.16109511256217957,-0.005715787410736084,0.965734928523077,0.6054417490959167,0.00000000 0.02300275 0.00000000 0.00000000 0.08425640 0.00000000 0.88919187 0.00354913 0.00000000 0.00000000
BP,rotate_+10,concat,0.3124420642852783,0.0506894588470459,1.1936540756184135,0.20705196261405945,0.015425920486450195,1.0805001257402016,2.094191789627075,0.22927584 0.20055050 0.03663327 0.09953501 0.00000000 0.00000000 0.41481024 0.00000000 0.01919516 0.00000000
BP,scale_0.90,layer2_flat,0.304837703704834,0.06606581807136536,1.2766901048497152,0.19673974812030792,0.04237854480743408,1.2745414255501928,2.3924827575683594,0.24773112 0.24567533 0.09129338 0.02878460 0.01117619 0.05252000 0.30201641 0.02080306 0.00000000 0.00000000
BP,scale_0.90,layer3_flat,0.3301967680454254,0.04031893610954285,1.1390894082522385,0.236857071518898,0.012907534837722778,1.057635907753812,2.1858131885528564,0.16933054 0.25501442 0.00000000 0.14037937 0.00000000 0.00000000 0.34038699 0.00000000 0.09488871 0.00000000
BP,scale_0.90,layer4_pooled,0.4962642192840576,0.10409784317016602,1.2654430606760352,0.11964748799800873,-0.04716341197490692,0.7172642076609987,0.9518029689788818,0.10595462 0.10415918 0.00000000 0.00000000 0.00000000 0.00000000 0.78988618 0.00000000 0.00000000 0.00000000
BP,scale_0.90,concat,0.31637099385261536,0.054618388414382935,1.2086641633336594,0.21965304017066956,0.028026998043060303,1.146258816034253,2.183357000350952,0.23973210 0.25901133 0.02479411 0.09927061 0.00833652 0.00000000 0.34350345 0.00000000 0.02535191 0.00000000
BP,scale_1.10,layer2_flat,0.2537137269973755,0.01494184136390686,1.0625778923854587,0.15545465052127838,0.001093447208404541,1.0070836919182415,2.258453845977783,0.26265028 0.13262747 0.11220688 0.00000000 0.00000000 0.03844455 0.37026724 0.08380359 0.00000000 0.00000000
BP,scale_1.10,layer3_flat,0.30001184344291687,0.010134011507034302,1.034959594665524,0.22190265357494354,-0.0020468831062316895,0.990860069922196,2.22265625,0.17113073 0.19327518 0.00000000 0.17642805 0.00000000 0.00000000 0.34511593 0.00000000 0.11405013 0.00000000
BP,scale_1.10,layer4_pooled,0.4119502604007721,0.019783884286880493,1.0504476811165588,0.14486660063266754,-0.021944299340248108,0.8684480489963212,0.6134178042411804,0.00000000 0.00000000 0.00000000 0.00000000 0.15143424 0.00000000 0.84856582 0.00000000 0.00000000 0.00000000
BP,scale_1.10,concat,0.27490174770355225,0.013149142265319824,1.0502350005007781,0.1924043446779251,0.0007783025503158569,1.0040615698245936,2.3021910190582275,0.24544013 0.16753556 0.04618214 0.08950792 0.00000000 0.00000000 0.38487929 0.03499648 0.03145849 0.00000000
BP,horizontal_flip,layer2_flat,0.23832477629184723,-0.0004471093416213989,0.9981274623667132,0.16181333363056183,0.007452130317687988,1.0482772235361175,2.5126466751098633,0.25530362 0.16072406 0.18027782 0.02331910 0.03023327 0.04429145 0.28036419 0.02267096 0.00281548 0.00000000
BP,horizontal_flip,layer3_flat,0.2933183014392853,0.00344046950340271,1.011868687855206,0.23352734744548798,0.009577810764312744,1.0427677185950395,2.452202081680298,0.11672590 0.19715710 0.00000000 0.22083482 0.13226324 0.00000000 0.26995873 0.00000000 0.06306016 0.00000000
BP,horizontal_flip,layer4_pooled,0.39624854922294617,0.004082173109054565,1.0104092889081817,0.15357977151870728,-0.013231128454208374,0.9206818711710246,0.6572628021240234,0.00000000 0.00000000 0.00000000 0.00000000 0.16980690 0.00000000 0.83019310 0.00000000 0.00000000 0.00000000
BP,horizontal_flip,concat,0.26223400235176086,0.0004813969135284424,1.0018391294051139,0.20140795409679413,0.009781911969184875,1.051046882044455,2.4698305130004883,0.22272122 0.18465447 0.08680327 0.11625908 0.07170004 0.00000000 0.30621767 0.00000000 0.01164427 0.00000000
